country_id,name
1,Hungary
2,Belgium
3,Bosnia & Herzegovina
4,China
5,Greece
6,Netherlands
7,Nigeria
8,Algeria
9,Columbia
10,Spain
11,Saudi Arabia
12,Scotland
13,Austria
14,Ghana
15,Italy
16,Russia
17,Cameroon
18,Qatar
19,Paraguay
20,Switzerland
21,Ivory Coast
22,Israel
23,Portugal
24,Kuwait
25,Argentina
26,Sweden
27,United Arab Emirates
28,Honduras
29,Denmark
30,France
31,Mexico
32,South Korea
33,Turkey
34,Norway
35,Brazil
36,Canada
37,Iran
38,USA
39,Uruguay
40,South Africa
41,Bulgaria
42,Chile
43,Tunisia
44,Australia
45,Costa Rica
46,Ecuador
47,Germany
48,Japan
49,England
50,Croatia
51,Ukraine
